ENSMUSG00000004462|Tbccd1
ENSMUSG00000035024|Ncapd3
ENSMUSG00000018449|Rpain
ENSMUSG00000025574|Tk1
ENSMUSG00000036748|Cuedc2
ENSMUSG00000074802|Gas2l3
ENSMUSG00000026594|Ralgps2
ENSMUSG00000027883|Gpsm2
ENSMUSG00000037072|Selenof
ENSMUSG00000053398|Phgdh
