ENSMUSG00000052949|Rnf157
ENSMUSG00000051950|B3glct
ENSMUSG00000029428|Stx2
ENSMUSG00000004113|Cacna1b
ENSMUSG00000021608|Lpcat1
ENSMUSG00000045038|Prkce
ENSMUSG00000021983|Atp8a2
ENSMUSG00000022474|Pmm1
ENSMUSG00000022012|Enox1
ENSMUSG00000022208|Jph4
