ENSMUSG00000028454|Pigo
ENSMUSG00000074925|Ptar1
ENSMUSG00000063550|Nup98
ENSMUSG00000024052|Lpin2
ENSMUSG00000021339|Mrs2
ENSMUSG00000022200|Golph3
ENSMUSG00000044950|Pwwp2a
ENSMUSG00000043061|Tmem18
ENSMUSG00000002064|Sdf2
ENSMUSG00000003316|Glg1
