ENSMUSG00000030216|Wbp11
ENSMUSG00000079480|Pin4
ENSMUSG00000030138|Bms1
ENSMUSG00000074182|Znhit6
ENSMUSG00000024966|Stip1
ENSMUSG00000022193|Psmb5
ENSMUSG00000024099|Ndufv2
ENSMUSG00000062867|Impdh2
ENSMUSG00000021115|Vrk1
ENSMUSG00000027498|Cstf1
