ENSMUSG00000021972|Hmbox1
ENSMUSG00000100876|2810454H06Rik
ENSMUSG00000005483|Dnajb1
ENSMUSG00000060904|Arl1
ENSMUSG00000022299|Slc25a32
ENSMUSG00000030301|Ccdc91
ENSMUSG00000005299|Letm1
ENSMUSG00000041684|Bivm
ENSMUSG00000042178|Armc5
ENSMUSG00000071654|Uqcc3
