ENSMUSG00000033460|Armcx1
ENSMUSG00000019791|Hint3
ENSMUSG00000028719|Cmpk1
ENSMUSG00000018428|Akap1
ENSMUSG00000054034|Tceal5
ENSMUSG00000015377|Dennd6b
ENSMUSG00000023912|Slc25a27
ENSMUSG00000072640|Lyrm9
ENSMUSG00000073295|Nudt11
ENSMUSG00000045348|Nyap1
