ENSMUSG00000031967|Afg3l1
ENSMUSG00000037474|Dtl
ENSMUSG00000033970|Rfc3
ENSMUSG00000042111|Ccdc115
ENSMUSG00000031754|Nudt21
ENSMUSG00000022881|Rfc4
ENSMUSG00000024454|Hdac3
ENSMUSG00000026496|Parp1
ENSMUSG00000020069|Hnrnph3
ENSMUSG00000001228|Uhrf1
