ENSMUSG00000028953|Abcf2
ENSMUSG00000012405|Rpl15
ENSMUSG00000026095|Asnsd1
ENSMUSG00000030057|Cnbp
ENSMUSG00000035215|Lsm7
ENSMUSG00000002767|Mrpl2
ENSMUSG00000057497|Fam136a
ENSMUSG00000066042|Med18
ENSMUSG00000034867|Ankrd27
ENSMUSG00000028223|Decr1
