ENSMUSG00000019831|Wasf1
ENSMUSG00000029729|Zkscan1
ENSMUSG00000026854|Usp20
ENSMUSG00000041298|Katnal1
ENSMUSG00000075040|Zfp408
ENSMUSG00000020483|Dynll2
ENSMUSG00000027222|Pex16
ENSMUSG00000031482|Slc25a15
ENSMUSG00000031012|Cask
ENSMUSG00000029547|Ints1
