ENSMUSG00000004018|Fancl
ENSMUSG00000029730|Mcm7
ENSMUSG00000033752|Mnd1
ENSMUSG00000041859|Mcm3
ENSMUSG00000029191|Rfc1
ENSMUSG00000021707|Dhfr
ENSMUSG00000024258|Polr2d
ENSMUSG00000079184|Mphosph8
ENSMUSG00000023971|Rrp36
ENSMUSG00000041718|Alg13
