ENSMUSG00000034333|Zbed4
ENSMUSG00000030888|Rrp8
ENSMUSG00000004846|Plod3
ENSMUSG00000028773|Fabp3
ENSMUSG00000051022|Hs3st1
ENSMUSG00000032374|Plod2
ENSMUSG00000026478|Lamc1
ENSMUSG00000019731|Slc35e1
ENSMUSG00000096768|Gm47283
ENSMUSG00000032492|Pth1r
