ENSMUSG00000059493|Nhs
ENSMUSG00000061143|Maml3
ENSMUSG00000006705|Pknox1
ENSMUSG00000018661|Cog1
ENSMUSG00000027459|Fam110a
ENSMUSG00000032024|Clmp
ENSMUSG00000097915|A330009N23Rik
ENSMUSG00000000531|Grasp
ENSMUSG00000035559|Mpv17l2
ENSMUSG00000042436|Mfap4
