ENSMUSG00000040339|Fam102b
ENSMUSG00000003352|Cacnb3
ENSMUSG00000028439|Fam219a
ENSMUSG00000027603|Ggt7
ENSMUSG00000041073|Nacad
ENSMUSG00000020668|Kif3c
ENSMUSG00000031398|Plxna3
ENSMUSG00000025777|Gdap1
ENSMUSG00000031970|Dbndd1
ENSMUSG00000050875|A730017C20Rik
