ENSMUSG00000041841|Rpl37
ENSMUSG00000066148|Prpf4
ENSMUSG00000016946|Kctd5
ENSMUSG00000042305|Tmem183a
ENSMUSG00000019471|Cdc37
ENSMUSG00000038462|Uqcrfs1
ENSMUSG00000024231|Cul2
ENSMUSG00000029267|Mtf2
ENSMUSG00000030224|Strap
ENSMUSG00000056962|Jmjd6
