ENSMUSG00000033713|Foxn3
ENSMUSG00000040022|Rab11fip2
ENSMUSG00000039960|Rhou
ENSMUSG00000048264|Dip2c
ENSMUSG00000046807|Lrrc75b
ENSMUSG00000032826|Ank2
ENSMUSG00000052105|Mtcl1
ENSMUSG00000051098|Mblac2
ENSMUSG00000046204|Pnma2
ENSMUSG00000021820|Camk2g
