ENSMUSG00000031527|Eri1
ENSMUSG00000005779|Psmb4
ENSMUSG00000020089|Ppa1
ENSMUSG00000032171|Pin1
ENSMUSG00000009079|Ewsr1
ENSMUSG00000032212|Sltm
ENSMUSG00000069565|Dazap1
ENSMUSG00000012429|Mplkip
ENSMUSG00000026526|Fh1
ENSMUSG00000020079|Supv3l1
