ENSMUSG00000032087|Dscaml1
ENSMUSG00000000394|Gcg
ENSMUSG00000059742|Kcnh7
ENSMUSG00000026893|Gca
ENSMUSG00000072437|Nanos1
ENSMUSG00000029869|Ephb6
ENSMUSG00000022661|Cd200
ENSMUSG00000042453|Reln
ENSMUSG00000043857|Mgat5b
ENSMUSG00000044548|Dact1
