ENSMUSG00000033618|Map3k13
ENSMUSG00000045658|Pid1
ENSMUSG00000060257|Scrt2
ENSMUSG00000017144|Rnd3
ENSMUSG00000031109|Enox2
ENSMUSG00000051251|Nhlh1
ENSMUSG00000024968|Rcor2
ENSMUSG00000038034|Igsf8
ENSMUSG00000032228|Tcf12
ENSMUSG00000097892|Gm26801
