ENSMUSG00000038860|Garnl3
ENSMUSG00000027938|Creb3l4
ENSMUSG00000043067|Dpy19l1
ENSMUSG00000040289|Hey1
ENSMUSG00000025020|Slit1
ENSMUSG00000046314|Stxbp6
ENSMUSG00000029156|Sgcb
ENSMUSG00000042271|Nxt2
ENSMUSG00000033763|Mtss1l
ENSMUSG00000053846|Lipg
