ENSMUSG00000043881|Kbtbd7
ENSMUSG00000034371|Tkfc
ENSMUSG00000059534|Uqcr10
ENSMUSG00000039414|Heatr5b
ENSMUSG00000032051|Fdx1
ENSMUSG00000024843|Chka
ENSMUSG00000024142|Mlst8
ENSMUSG00000024222|Fkbp5
ENSMUSG00000039069|Mtg2
ENSMUSG00000003072|Atp5d
