ENSMUSG00000020256|Aldh1l2
ENSMUSG00000020882|Cacnb1
ENSMUSG00000045991|Onecut2
ENSMUSG00000062961|Ccdc177
ENSMUSG00000056812|St8sia3
ENSMUSG00000110357|A030001D20Rik
ENSMUSG00000052928|Ctif
ENSMUSG00000030035|Wbp1
ENSMUSG00000042743|Sgtb
ENSMUSG00000038712|Mindy1
