ENSMUSG00000056394|Lig1
ENSMUSG00000044763|Trmt10c
ENSMUSG00000025001|Hells
ENSMUSG00000035351|Nup37
ENSMUSG00000026669|Mcm10
ENSMUSG00000006715|Gmnn
ENSMUSG00000020923|Ubtf
ENSMUSG00000020888|Dvl2
ENSMUSG00000031904|Slc7a6
ENSMUSG00000020929|Eftud2
