ENSMUSG00000031391|L1cam
ENSMUSG00000035847|Ids
ENSMUSG00000018865|Sult4a1
ENSMUSG00000035964|Tmem59l
ENSMUSG00000034656|Cacna1a
ENSMUSG00000071658|Gng3
ENSMUSG00000036611|Eepd1
ENSMUSG00000019066|Rab3d
ENSMUSG00000013367|Iglon5
ENSMUSG00000032549|Rab6b
