ENSMUSG00000021357|Exoc2
ENSMUSG00000031864|Ints10
ENSMUSG00000041623|D11Wsu47e
ENSMUSG00000000340|Dbt
ENSMUSG00000022426|Josd1
ENSMUSG00000007216|Zfp775
ENSMUSG00000005774|Rfx5
ENSMUSG00000045210|Vcpip1
ENSMUSG00000027575|Arfgap1
ENSMUSG00000002781|Tmem143
