ENSMUSG00000090862|Rps13
ENSMUSG00000010376|Nedd8
ENSMUSG00000024067|Dpy30
ENSMUSG00000038274|Fau
ENSMUSG00000061983|Rps12
ENSMUSG00000042462|Dctpp1
ENSMUSG00000051705|Senp8
ENSMUSG00000021711|Trappc13
ENSMUSG00000031756|Cenpn
ENSMUSG00000020460|Rps27a
