ENSMUSG00000035969|Rusc2
ENSMUSG00000015247|Nipsnap3b
ENSMUSG00000002343|Armc6
ENSMUSG00000024603|Dctn4
ENSMUSG00000022841|Ap2m1
ENSMUSG00000036299|BC031181
ENSMUSG00000022681|Ntan1
ENSMUSG00000037032|Apbb1
ENSMUSG00000058317|Ube2e2
ENSMUSG00000039201|Tbc1d25
