ENSMUSG00000020705|Ddx42
ENSMUSG00000030615|Tmem126a
ENSMUSG00000008683|Rps15a
ENSMUSG00000001158|Snrnp27
ENSMUSG00000027239|Mdk
ENSMUSG00000063236|1110038F14Rik
ENSMUSG00000036309|Skp1a
ENSMUSG00000008682|Rpl10
ENSMUSG00000009013|Dynll1
ENSMUSG00000039242|B3galnt2
