ENSMUSG00000042625|Safb2
ENSMUSG00000028700|Pomgnt1
ENSMUSG00000058444|Map2k5
ENSMUSG00000013858|Tmem259
ENSMUSG00000036779|Papd5
ENSMUSG00000039308|Ndst2
ENSMUSG00000039307|Hexdc
ENSMUSG00000037119|Fam91a1
ENSMUSG00000026623|Lpgat1
ENSMUSG00000071456|1110002L01Rik
