ENSMUSG00000042745|Id1
ENSMUSG00000019814|Ltv1
ENSMUSG00000059040|Eno1b
ENSMUSG00000004356|Utp20
ENSMUSG00000038644|Pold1
ENSMUSG00000036093|Arl5a
ENSMUSG00000025161|Slc16a3
ENSMUSG00000004100|Ppan
ENSMUSG00000035637|Grhpr
ENSMUSG00000053553|3110082I17Rik
