ENSMUSG00000039929|Urb1
ENSMUSG00000058655|Eif4b
ENSMUSG00000006398|Cdc20
ENSMUSG00000058407|Txndc9
ENSMUSG00000020720|Psmd12
ENSMUSG00000021149|Gtpbp4
ENSMUSG00000034931|Dhx8
ENSMUSG00000034024|Cct2
ENSMUSG00000025580|Eif4a3
ENSMUSG00000003038|Hmgn2
