ENSMUSG00000061898|Rbak
ENSMUSG00000003234|Abcf3
ENSMUSG00000029607|Ankrd61
ENSMUSG00000054967|Zfp647
ENSMUSG00000041245|Wnk3
ENSMUSG00000034674|Tdg
ENSMUSG00000025151|Maged1
ENSMUSG00000020747|Tmem94
ENSMUSG00000017858|Ift52
ENSMUSG00000039449|Prpf18
