ENSMUSG00000022247|Brix1
ENSMUSG00000022241|Tars
ENSMUSG00000028639|Ybx1
ENSMUSG00000029247|Paics
ENSMUSG00000015961|Adss
ENSMUSG00000001082|Mfsd10
ENSMUSG00000035227|Spcs2
ENSMUSG00000031774|Fam192a
ENSMUSG00000035297|Cops4
ENSMUSG00000022234|Cct5
