ENSMUSG00000027508|Pag1
ENSMUSG00000030549|Rhcg
ENSMUSG00000005360|Slc1a3
ENSMUSG00000016028|Celsr1
ENSMUSG00000053399|Adamts18
ENSMUSG00000035944|Ttc38
ENSMUSG00000063887|Nlgn1
ENSMUSG00000026565|Pou2f1
ENSMUSG00000036565|Ttyh3
ENSMUSG00000114401|Gm38604
