ENSMUSG00000024712|Rfk
ENSMUSG00000030246|Ldhb
ENSMUSG00000038664|Herc1
ENSMUSG00000056216|Cebpg
ENSMUSG00000034910|Pygo1
ENSMUSG00000097292|A230107N01Rik
ENSMUSG00000038241|Cep250
ENSMUSG00000031865|Dctn1
ENSMUSG00000029474|Rnf34
ENSMUSG00000020448|Rnf185
