ENSMUSG00000028702|Rad54l
ENSMUSG00000059878|Zfp422
ENSMUSG00000004885|Crabp2
ENSMUSG00000031548|Sfrp1
ENSMUSG00000044461|Shisa2
ENSMUSG00000055653|Gpc3
ENSMUSG00000041891|Lman1
ENSMUSG00000034610|Zcchc11
ENSMUSG00000070526|Peg12
ENSMUSG00000021318|Gli3
