ENSMUSG00000031072|Oraov1
ENSMUSG00000052727|Map1b
ENSMUSG00000022433|Csnk1e
ENSMUSG00000030401|Rtn2
ENSMUSG00000045438|Cox19
ENSMUSG00000041164|Zmiz2
ENSMUSG00000051007|Gatd1
ENSMUSG00000041939|Mvk
ENSMUSG00000033157|Abhd10
ENSMUSG00000071359|Tbpl1
