ENSMUSG00000053825|Ppfia2
ENSMUSG00000036225|Kctd1
ENSMUSG00000020607|Fam84a
ENSMUSG00000027489|Necab3
ENSMUSG00000027977|Ndst3
ENSMUSG00000054814|Usp46
ENSMUSG00000027799|Nbea
ENSMUSG00000033256|Shf
ENSMUSG00000052373|Mpp3
ENSMUSG00000043587|Pxylp1
