ENSMUSG00000030045|Mrpl19
ENSMUSG00000000134|Tfe3
ENSMUSG00000024150|Mcfd2
ENSMUSG00000029192|Tbc1d14
ENSMUSG00000050708|Ftl1
ENSMUSG00000038312|Edem2
ENSMUSG00000074212|Dnajb14
ENSMUSG00000034707|Gns
ENSMUSG00000016256|Ctsz
ENSMUSG00000017760|Ctsa
