ENSMUSG00000026027|Stradb
ENSMUSG00000031833|Mast3
ENSMUSG00000054520|Sh3bp2
ENSMUSG00000034160|Ogt
ENSMUSG00000022314|Rad21
ENSMUSG00000037103|Dcaf15
ENSMUSG00000001576|Ergic1
ENSMUSG00000014550|Rbsn
ENSMUSG00000036916|Zfp280c
ENSMUSG00000053870|Fpgt
