ENSMUSG00000054409|Tmem74
ENSMUSG00000035653|Lrfn5
ENSMUSG00000026058|Khdrbs2
ENSMUSG00000030406|Gipr
ENSMUSG00000032936|Camkv
ENSMUSG00000042182|Bend6
ENSMUSG00000025128|Bhlhe22
ENSMUSG00000029471|Camkk2
ENSMUSG00000048216|Gpr85
ENSMUSG00000028399|Ptprd
