ENSMUSG00000038059|Smim3
ENSMUSG00000029455|Aldh2
ENSMUSG00000020961|Ston2
ENSMUSG00000050732|Vamp8
ENSMUSG00000036461|Elf1
ENSMUSG00000060639|Hist1h4i
ENSMUSG00000045268|Zfp691
ENSMUSG00000068335|Dok1
ENSMUSG00000021709|Erbin
ENSMUSG00000029233|Srd5a3
