ENSMUSG00000031985|Gnpat
ENSMUSG00000040599|Mis12
ENSMUSG00000027981|Rnpc3
ENSMUSG00000071226|Cecr2
ENSMUSG00000039741|Bahcc1
ENSMUSG00000001761|Smo
ENSMUSG00000085355|3010003L21Rik
ENSMUSG00000042138|Msantd2
ENSMUSG00000086308|G630016G05Rik
ENSMUSG00000024256|Adcyap1
