ENSMUSG00000038069|Cdkn2aip
ENSMUSG00000028484|Psip1
ENSMUSG00000016559|H3f3b
ENSMUSG00000015217|Hmgb3
ENSMUSG00000056267|Cep70
ENSMUSG00000040167|Ikzf5
ENSMUSG00000031987|Egln1
ENSMUSG00000032217|Rnf111
ENSMUSG00000041133|Smc1a
ENSMUSG00000032745|Gpbp1
