ENSMUSG00000053581|Zfand2a
ENSMUSG00000039046|Usp6nl
ENSMUSG00000019944|Rhobtb1
ENSMUSG00000050914|Ankrd37
ENSMUSG00000067336|Bmpr2
ENSMUSG00000026883|Dab2ip
ENSMUSG00000062127|Cttnbp2nl
ENSMUSG00000005533|Igf1r
ENSMUSG00000021147|Wdr37
ENSMUSG00000032786|Alas1
