ENSMUSG00000020171|Yeats4
ENSMUSG00000034453|Polr3b
ENSMUSG00000031848|Lsm4
ENSMUSG00000026646|Suv39h2
ENSMUSG00000028797|Tmem234
ENSMUSG00000057572|Zbtb8os
ENSMUSG00000076437|Selenoh
ENSMUSG00000071451|Psmg4
ENSMUSG00000020608|Smc6
ENSMUSG00000021660|Btf3
