ENSMUSG00000041540|Sox5
ENSMUSG00000027692|Tnik
ENSMUSG00000040136|Abcc8
ENSMUSG00000062184|Hs6st2
ENSMUSG00000037138|Aff3
ENSMUSG00000068205|Macrod2
ENSMUSG00000033981|Gria2
ENSMUSG00000044647|Csrnp3
ENSMUSG00000054733|Msra
ENSMUSG00000032532|Cck
