ENSMUSG00000031622|Sin3b
ENSMUSG00000024325|Ring1
ENSMUSG00000053178|Mterf1b
ENSMUSG00000049657|Zbtb5
ENSMUSG00000037773|Pced1a
ENSMUSG00000031563|Wwc2
ENSMUSG00000028060|2810403A07Rik
ENSMUSG00000059851|Kmt5c
ENSMUSG00000026812|Tsc1
ENSMUSG00000002280|Narfl
