ENSMUSG00000060548|Tnfrsf19
ENSMUSG00000026575|Nme7
ENSMUSG00000021028|Mbip
ENSMUSG00000060149|BC002059
ENSMUSG00000039841|Zfp800
ENSMUSG00000069272|Hist1h2ae
ENSMUSG00000051627|Hist1h1e
ENSMUSG00000069309|Hist1h2an
ENSMUSG00000058773|Hist1h1b
ENSMUSG00000020956|Dtd2
