ENSMUSG00000069273|Hist1h3e
ENSMUSG00000007655|Cav1
ENSMUSG00000021180|Rps6ka5
ENSMUSG00000003032|Klf4
ENSMUSG00000040488|Ltbp4
ENSMUSG00000000915|Hip1r
ENSMUSG00000039701|Usp53
ENSMUSG00000031520|Vegfc
ENSMUSG00000070643|Sox13
ENSMUSG00000023845|Lnpep
