ENSMUSG00000022553|Maf1
ENSMUSG00000028779|Pef1
ENSMUSG00000028578|Caap1
ENSMUSG00000028134|Ptbp2
ENSMUSG00000022160|Mettl3
ENSMUSG00000100954|Gm10138
ENSMUSG00000028271|Gtf2b
ENSMUSG00000028443|Nudt2
ENSMUSG00000023791|Pigx
ENSMUSG00000030868|Dctn5
