ENSMUSG00000025036|Sfxn2
ENSMUSG00000021065|Fut8
ENSMUSG00000005148|Klf5
ENSMUSG00000052911|Lamb2
ENSMUSG00000027339|Rassf2
ENSMUSG00000053617|Sh3pxd2a
ENSMUSG00000033420|Antxr1
ENSMUSG00000005125|Ndrg1
ENSMUSG00000023191|P3h3
ENSMUSG00000021319|Sfrp4
