ENSMUSG00000058756|Thra
ENSMUSG00000030930|Chst15
ENSMUSG00000000934|Top1mt
ENSMUSG00000000223|Drp2
ENSMUSG00000051726|Kcnf1
ENSMUSG00000044006|Cilp2
ENSMUSG00000027525|Phactr3
ENSMUSG00000044024|Rell2
ENSMUSG00000031834|Pik3r2
ENSMUSG00000043670|Diras1
