ENSMUSG00000039763|Dnajc28
ENSMUSG00000026781|Acbd5
ENSMUSG00000028430|Nol6
ENSMUSG00000021681|Aggf1
ENSMUSG00000068663|Clec16a
ENSMUSG00000038774|Ascc3
ENSMUSG00000069539|Scyl2
ENSMUSG00000097571|Jpx
ENSMUSG00000034681|Rnps1
ENSMUSG00000029276|Glmn
