ENSMUSG00000022339|Ebag9
ENSMUSG00000005871|Apc
ENSMUSG00000046441|Cmtr2
ENSMUSG00000048732|Klhl11
ENSMUSG00000028572|Hook1
ENSMUSG00000070737|Tmem35b
ENSMUSG00000033585|Ndn
ENSMUSG00000025272|Tro
ENSMUSG00000040648|Ppip5k2
ENSMUSG00000037017|Zscan21
