ENSMUSG00000046836|Brox
ENSMUSG00000006435|Neurl1a
ENSMUSG00000041396|Mettl18
ENSMUSG00000030610|Det1
ENSMUSG00000025862|Stag2
ENSMUSG00000026664|Phyh
ENSMUSG00000072694|1500011B03Rik
ENSMUSG00000022940|Pigp
ENSMUSG00000020952|Scfd1
ENSMUSG00000026270|Capn10
