ENSMUSG00000022791|Tnk2
ENSMUSG00000027281|Slx4ip
ENSMUSG00000059142|Zfp945
ENSMUSG00000042622|Maff
ENSMUSG00000021094|Dhrs7
ENSMUSG00000044167|Foxo1
ENSMUSG00000035172|Plekhh3
ENSMUSG00000025037|Maoa
ENSMUSG00000074457|S100a16
ENSMUSG00000025509|Pnpla2
