ENSMUSG00000053334|Ficd
ENSMUSG00000033083|Tbc1d4
ENSMUSG00000022860|Chodl
ENSMUSG00000045589|Frrs1l
ENSMUSG00000030774|Pak1
ENSMUSG00000029086|Prom1
ENSMUSG00000044164|Rnf182
ENSMUSG00000035064|Eef2k
ENSMUSG00000042834|Nrep
ENSMUSG00000028782|Adgrb2
