ENSMUSG00000043964|Orai3
ENSMUSG00000019984|Med23
ENSMUSG00000028466|Creb3
ENSMUSG00000038181|Chpf2
ENSMUSG00000020646|Mboat2
ENSMUSG00000020087|Tysnd1
ENSMUSG00000038212|Mfsd14b
ENSMUSG00000032042|Srpr
ENSMUSG00000028106|Rprd2
ENSMUSG00000024789|Jak2
