ENSMUSG00000051238|Swsap1
ENSMUSG00000001755|Coasy
ENSMUSG00000052917|Senp7
ENSMUSG00000026404|Ddx59
ENSMUSG00000022008|Gpalpp1
ENSMUSG00000009733|Tfcp2
ENSMUSG00000036667|Tcaf1
ENSMUSG00000000001|Gnai3
ENSMUSG00000067424|Zfp563
ENSMUSG00000003269|Cyth2
