ENSMUSG00000021244|Ylpm1
ENSMUSG00000022571|Pycrl
ENSMUSG00000019792|Trmt11
ENSMUSG00000025049|Taf5
ENSMUSG00000042558|Adprhl2
ENSMUSG00000021840|Mapk1ip1l
ENSMUSG00000037514|Pank2
ENSMUSG00000002679|Med6
ENSMUSG00000037503|Fam168b
ENSMUSG00000038160|Atg5
