ENSMUSG00000000776|Polr3d
ENSMUSG00000029627|Zkscan14
ENSMUSG00000113262|Gm48551
ENSMUSG00000023707|Ogfod2
ENSMUSG00000000759|Tubgcp3
ENSMUSG00000029141|Slc4a1ap
ENSMUSG00000023980|Taf8
ENSMUSG00000047423|AI837181
ENSMUSG00000023021|Cers5
ENSMUSG00000026088|Mitd1
