ENSMUSG00000028809|Srrm1
ENSMUSG00000030591|Psmd8
ENSMUSG00000094870|Zfp131
ENSMUSG00000042520|Ubap2l
ENSMUSG00000021413|Prpf4b
ENSMUSG00000026843|Fubp3
ENSMUSG00000004768|Rab23
ENSMUSG00000079418|Atg4a
ENSMUSG00000022205|Sub1
ENSMUSG00000023106|Denr
