ENSMUSG00000004610|Etfb
ENSMUSG00000028607|Cpt2
ENSMUSG00000004849|Ap1s1
ENSMUSG00000004771|Rab11a
ENSMUSG00000027852|Nras
ENSMUSG00000075706|Gpx4
ENSMUSG00000034793|G6pc3
ENSMUSG00000036599|Chst12
ENSMUSG00000040242|Fgfr1op2
ENSMUSG00000002015|Bcap31
