ENSMUSG00000027642|Rpn2
ENSMUSG00000032192|Gnb5
ENSMUSG00000029312|Klhl8
ENSMUSG00000034377|Tulp4
ENSMUSG00000034390|Cmip
ENSMUSG00000021007|Spata7
ENSMUSG00000020381|Mrnip
ENSMUSG00000017288|Vps53
ENSMUSG00000031428|Zcchc18
ENSMUSG00000006273|Atp6v1b2
